subtask	score
ko.sub.lem-treetagger.parsed.lower.topic-model-100-5.stop-top-200	-72.79157040150776
ko.sub.lem-udpipe.parsed.lower.topic-model-100-5.stop-top-200	-72.80305460213228
ko.sub.lower.topic-model-100-6.stop-top-200	-80.13210577566434
ko.sub.lem-treetagger.parsed.lower.topic-model-100-6.stop-top-200	-72.49629708844745
ko.sub.lem-udpipe.parsed.lower.topic-model-100-6.stop-top-200	-71.372719498776
ko.sub.lower.topic-model-100-7.stop-top-200	-82.36648764295732
ko.sub.lem-treetagger.parsed.lower.topic-model-100-7.stop-top-200	-73.85366466143927
ko.sub.lem-udpipe.parsed.lower.topic-model-100-7.stop-top-200	-70.93032943746697
ko.sub.lower.topic-model-100-8.stop-top-200	-81.21944245252098
ko.sub.lem-treetagger.parsed.lower.topic-model-100-8.stop-top-200	-72.90934658962901
ko.sub.lem-udpipe.parsed.lower.topic-model-100-8.stop-top-200	-73.53828861107836
ko.sub.lower.topic-model-100-9.stop-top-200	-82.39939579247225
ko.sub.lem-treetagger.parsed.lower.topic-model-100-9.stop-top-200	-71.48745846943062
ko.sub.lem-udpipe.parsed.lower.topic-model-100-9.stop-top-200	-72.01214652669677
ru.sub.lower.topic-model-100-0.stop-top-200	-84.52093254764615
ru.sub.lem-treetagger.parsed.lower.topic-model-100-0.stop-top-200	-72.95787498381851
ru.sub.lem-udpipe.parsed.lower.topic-model-100-0.stop-top-200	-72.59229366951573
ru.sub.lower.topic-model-100-1.stop-top-200	-82.38890207811573
ru.sub.lem-treetagger.parsed.lower.topic-model-100-1.stop-top-200	-68.82417325532096
ru.sub.lem-udpipe.parsed.lower.topic-model-100-1.stop-top-200	-74.07207210425867
ru.sub.lower.topic-model-100-2.stop-top-200	-83.32929504995947
ru.sub.lem-treetagger.parsed.lower.topic-model-100-2.stop-top-200	-72.87488111103677
ru.sub.lem-udpipe.parsed.lower.topic-model-100-2.stop-top-200	-74.86142292367724
ru.sub.lower.topic-model-100-3.stop-top-200	-83.16551646953246
ru.sub.lem-treetagger.parsed.lower.topic-model-100-3.stop-top-200	-72.0270090809111
ru.sub.lem-udpipe.parsed.lower.topic-model-100-3.stop-top-200	-73.43660740148313
ru.sub.lower.topic-model-100-4.stop-top-200	-82.60687194493829
ru.sub.lem-treetagger.parsed.lower.topic-model-100-4.stop-top-200	-72.00175287986788
ru.sub.lem-udpipe.parsed.lower.topic-model-100-4.stop-top-200	-73.13846673756174
ru.sub.lower.topic-model-100-5.stop-top-200	-83.24798573315665
ru.sub.lem-treetagger.parsed.lower.topic-model-100-5.stop-top-200	-75.35494539775004
ru.sub.lem-udpipe.parsed.lower.topic-model-100-5.stop-top-200	-74.96720720348864
ru.sub.lower.topic-model-100-6.stop-top-200	-85.37525538808976
ru.sub.lem-treetagger.parsed.lower.topic-model-100-6.stop-top-200	-72.03152844201549
ru.sub.lem-udpipe.parsed.lower.topic-model-100-6.stop-top-200	-74.2715920519489
ru.sub.lower.topic-model-100-7.stop-top-200	-82.62249322217767
ru.sub.lem-treetagger.parsed.lower.topic-model-100-7.stop-top-200	-72.58086597582077
ru.sub.lem-udpipe.parsed.lower.topic-model-100-7.stop-top-200	-74.06684669793913
ru.sub.lower.topic-model-100-8.stop-top-200	-83.20677191957652
ru.sub.lem-treetagger.parsed.lower.topic-model-100-8.stop-top-200	-71.79259624830418
ru.sub.lem-udpipe.parsed.lower.topic-model-100-8.stop-top-200	-72.35979585477695
ru.sub.lower.topic-model-100-9.stop-top-200	-84.32897570039191
ru.sub.lem-treetagger.parsed.lower.topic-model-100-9.stop-top-200	-73.36725896642564
ru.sub.lem-udpipe.parsed.lower.topic-model-100-9.stop-top-200	-72.84088440300235
