subtask	score
ko.sub.lem-treetagger.parsed.lower.topic-model-100-5.stop-top-200	-83.88645037301474
ko.sub.lem-udpipe.parsed.lower.topic-model-100-5.stop-top-200	-80.4426668143954
ko.sub.lower.topic-model-100-6.stop-top-200	-80.13210577566434
ko.sub.lem-treetagger.parsed.lower.topic-model-100-6.stop-top-200	-82.2719853145137
ko.sub.lem-udpipe.parsed.lower.topic-model-100-6.stop-top-200	-80.69333535913232
ko.sub.lower.topic-model-100-7.stop-top-200	-82.39793025544697
ko.sub.lem-treetagger.parsed.lower.topic-model-100-7.stop-top-200	-83.92223906433141
ko.sub.lem-udpipe.parsed.lower.topic-model-100-7.stop-top-200	-82.57568338609127
ko.sub.lower.topic-model-100-8.stop-top-200	-81.21944245252098
ko.sub.lem-treetagger.parsed.lower.topic-model-100-8.stop-top-200	-81.29511546009691
ko.sub.lem-udpipe.parsed.lower.topic-model-100-8.stop-top-200	-80.73892114657524
ko.sub.lower.topic-model-100-9.stop-top-200	-82.34389084928985
ko.sub.lem-treetagger.parsed.lower.topic-model-100-9.stop-top-200	-81.97194140915835
ko.sub.lem-udpipe.parsed.lower.topic-model-100-9.stop-top-200	-82.93302209925086
ru.sub.lower.topic-model-100-0.stop-top-200	-84.31004669851421
ru.sub.lem-treetagger.parsed.lower.topic-model-100-0.stop-top-200	-85.52174855432987
ru.sub.lem-udpipe.parsed.lower.topic-model-100-0.stop-top-200	-84.97685570120157
ru.sub.lower.topic-model-100-1.stop-top-200	-82.3595900158667
ru.sub.lem-treetagger.parsed.lower.topic-model-100-1.stop-top-200	-86.11177972810948
ru.sub.lem-udpipe.parsed.lower.topic-model-100-1.stop-top-200	-88.15006128596042
ru.sub.lower.topic-model-100-2.stop-top-200	-83.33093279427963
ru.sub.lem-treetagger.parsed.lower.topic-model-100-2.stop-top-200	-86.34681214152262
ru.sub.lem-udpipe.parsed.lower.topic-model-100-2.stop-top-200	-84.04336432617558
ru.sub.lower.topic-model-100-3.stop-top-200	-83.16551646953246
ru.sub.lem-treetagger.parsed.lower.topic-model-100-3.stop-top-200	-85.10134294238973
ru.sub.lem-udpipe.parsed.lower.topic-model-100-3.stop-top-200	-84.38476955231212
ru.sub.lower.topic-model-100-4.stop-top-200	-82.60709993254177
ru.sub.lem-treetagger.parsed.lower.topic-model-100-4.stop-top-200	-85.79475718661797
ru.sub.lem-udpipe.parsed.lower.topic-model-100-4.stop-top-200	-85.49311786225954
ru.sub.lower.topic-model-100-5.stop-top-200	-83.24798573315665
ru.sub.lem-treetagger.parsed.lower.topic-model-100-5.stop-top-200	-84.73816241215322
ru.sub.lem-udpipe.parsed.lower.topic-model-100-5.stop-top-200	-86.06506800305557
ru.sub.lower.topic-model-100-6.stop-top-200	-85.37202579917556
ru.sub.lem-treetagger.parsed.lower.topic-model-100-6.stop-top-200	-84.50492199715285
ru.sub.lem-udpipe.parsed.lower.topic-model-100-6.stop-top-200	-85.14054786695279
ru.sub.lower.topic-model-100-7.stop-top-200	-82.6310906970181
ru.sub.lem-treetagger.parsed.lower.topic-model-100-7.stop-top-200	-87.01865482640545
ru.sub.lem-udpipe.parsed.lower.topic-model-100-7.stop-top-200	-87.28495907267246
ru.sub.lower.topic-model-100-8.stop-top-200	-83.2120989578011
ru.sub.lem-treetagger.parsed.lower.topic-model-100-8.stop-top-200	-85.59157239392054
ru.sub.lem-udpipe.parsed.lower.topic-model-100-8.stop-top-200	-85.62911000785842
ru.sub.lower.topic-model-100-9.stop-top-200	-84.32915360257898
ru.sub.lem-treetagger.parsed.lower.topic-model-100-9.stop-top-200	-87.4244475475175
ru.sub.lem-udpipe.parsed.lower.topic-model-100-9.stop-top-200	-83.47869458020705
