filename	unknown	tokens	lines
wiki-1179	9885	90618	91058
wiki-118	9549	88381	88483
wiki-1180	10010	89588	89786
wiki-1181	9920	91763	92153
wiki-1182	10037	91703	92141
wiki-1183	10059	93061	93379
wiki-1184	9705	89321	89637
wiki-1185	10066	91343	91807
wiki-1186	9949	90064	90712
wiki-1187	10310	90974	91174
wiki-1188	10639	94681	95123
wiki-1189	10126	90567	90921
wiki-119	9468	86566	86710
wiki-1190	10547	90739	91113
wiki-1191	9706	92257	92659
wiki-1192	10162	92847	93299
wiki-1193	10496	92307	92737
wiki-1194	10494	92861	93235
wiki-1195	10468	92299	92763
wiki-1196	10136	91724	92162
wiki-1197	9848	89923	90453
wiki-1198	10316	92262	92732
wiki-1199	10104	91051	91461
wiki-12	9173	90106	90220
wiki-120	8498	88904	89010
wiki-1200	10364	89579	90473
wiki-1201	10039	91745	92007
wiki-1202	9780	91581	92081
wiki-1203	10426	93903	94267
wiki-1204	9891	91186	91534
wiki-1205	10032	91447	91935
wiki-1206	9897	91762	92200
wiki-1207	10686	92517	93003
wiki-1208	10574	92248	92688
wiki-1209	11014	92659	93125
wiki-121	9863	89221	89333
wiki-1210	9955	91196	91856
wiki-1211	9453	88941	89429
wiki-1212	10338	90169	90705
wiki-1213	9948	91285	91653
wiki-1214	9854	91627	92025
wiki-1215	10898	93250	93752
wiki-1216	11153	92930	93358
wiki-1217	9685	86361	86855
wiki-1218	10006	90978	91390
wiki-1219	10135	91175	91669
wiki-122	8939	88418	88582
wiki-1220	9976	95065	95457
wiki-1221	10223	92025	92495
wiki-1222	10027	90290	90820
wiki-1223	10154	92476	92944
wiki-1224	9953	90631	91019
wiki-1225	10334	92589	93059
wiki-1226	10063	89126	89610
wiki-1227	10339	92411	92759
wiki-1228	9850	90262	90790
wiki-1229	10682	92483	92927
wiki-123	9789	89899	90083
wiki-1230	9975	93308	93678
wiki-1231	10365	90676	91070
wiki-1232	10192	92051	92465
wiki-1233	10021	91903	92317
wiki-1234	10917	92115	92547
wiki-1235	10328	90930	91342
wiki-1236	10335	90892	91316
wiki-1237	10043	91793	92187
wiki-1238	11304	92840	93280
wiki-1239	10705	91065	91601
wiki-124	8871	87067	87185
wiki-1240	10304	90627	91137
wiki-1241	9624	89804	90410
wiki-1242	10501	92039	93045
wiki-1243	11083	84089	86153
wiki-1244	11428	90548	91636
wiki-1245	10551	83138	85456
wiki-1246	10656	78880	81662
wiki-1247	11600	92069	93033
wiki-1248	10484	85393	86757
wiki-1249	11037	87595	89405
wiki-125	10198	88545	88681
wiki-1250	9469	82644	84464
wiki-1251	11329	88259	89473
wiki-1252	10312	89428	90302
wiki-1253	10850	91980	92520
wiki-1254	10888	90946	91780
wiki-1255	10136	91094	91574
wiki-1256	11262	91491	92065
wiki-1257	10270	89630	90012
wiki-1258	9996	89972	90446
wiki-1259	9771	89131	89549
wiki-126	9100	91864	92004
wiki-1260	10206	90653	91167
wiki-1261	10120	89624	90238
wiki-1262	10401	88764	89334
wiki-1263	10354	90986	91678
wiki-1264	9408	91465	92003
wiki-1265	10315	88019	88609
wiki-1266	10511	92226	92736
wiki-1267	10787	91041	91493
wiki-1268	9643	86734	87428
wiki-1269	9962	89935	91049
wiki-127	9101	88357	88561
wiki-1270	9804	87948	88954
wiki-1271	10156	90132	90738
wiki-1272	11389	91463	92093
wiki-1273	10529	90119	90539
wiki-1274	10531	92822	93258
wiki-1275	10587	91845	92321
wiki-1276	10221	89883	90451
wiki-1277	10838	90823	91339
wiki-1278	10086	90144	91538
wiki-1279	9242	87852	89172
wiki-128	8862	90948	91070
wiki-1280	10645	91971	92355
wiki-1281	9159	90749	91201
wiki-1282	9129	82571	83061
wiki-1283	10455	92136	92560
wiki-1284	9937	91562	92006
wiki-1285	9833	90942	91502
wiki-1286	10632	92997	93503
wiki-1287	9948	89774	90204
wiki-1288	9926	91261	91783
wiki-1289	9776	91299	91813
wiki-129	8675	80477	80629
wiki-1290	10097	91705	92277
wiki-1291	10636	90566	91200
wiki-1292	10255	89704	90458
wiki-1293	10259	88841	89373
wiki-1294	12526	79800	81608
wiki-1295	10659	86744	87978
wiki-1296	11579	79057	80915
wiki-1297	11155	77286	79394
wiki-1298	11005	82644	84038
wiki-1299	10461	90529	91025
wiki-13	8788	92416	92516
wiki-130	8404	88112	88226
wiki-1300	10092	90387	90881
wiki-1301	9448	90144	90600
wiki-1302	10596	93231	93687
wiki-1303	10875	88943	89519
wiki-1304	10091	91565	92013
wiki-1305	10246	92387	92723
wiki-1306	9693	91608	91980
wiki-1307	10124	90354	90902
wiki-1308	10044	91782	92230
wiki-1309	10062	91630	92002
wiki-131	10009	88912	89060
wiki-1310	10189	90490	90848
wiki-1311	10720	92327	92679
wiki-1312	10847	91070	91596
wiki-1313	11264	83410	84662
wiki-1314	9866	91973	92285
wiki-1315	10525	90332	90776
wiki-1316	9114	88207	88615
wiki-1317	11234	87283	88343
wiki-1318	12912	80041	82179
wiki-1319	13233	79509	81851
wiki-132	8092	87910	88008
wiki-1320	13001	79697	81971
wiki-1321	12513	76679	78721
wiki-1322	11980	85398	86758
wiki-1323	9659	90429	90939
wiki-1324	9856	89878	90294
wiki-1325	10065	91530	92018
wiki-1326	10252	91197	91981
wiki-1327	13163	90415	91485
wiki-1328	14972	85302	87112
wiki-1329	15333	85606	87380
wiki-133	8000	84498	84626
wiki-1330	15277	85143	86881
wiki-1331	15374	85257	86985
wiki-1332	12615	88224	89288
wiki-1333	10242	92344	92774
wiki-1334	9897	89344	89652
wiki-1335	9985	91399	91787
wiki-1336	10595	90858	91336
wiki-1337	10218	89699	90067
wiki-1338	11194	92385	92799
wiki-1339	10705	92732	93126
wiki-134	10866	95683	95733
wiki-1340	10207	89910	90420
wiki-1341	11189	92620	93126
wiki-1342	9787	91149	91639
wiki-1343	10813	92222	92738
wiki-1344	10774	92175	92603
wiki-1345	11047	95813	96303
wiki-1346	10160	90543	91005
wiki-1347	10299	90419	90969
wiki-1348	10191	91119	91543
wiki-1349	10155	91465	91907
wiki-135	8139	87142	87312
wiki-1350	10643	90910	91350
wiki-1351	10781	91504	92058
wiki-1352	10033	89607	90647
wiki-1353	9730	80641	81787
wiki-1354	10771	90800	91186
wiki-1355	10691	91275	91807
wiki-1356	10404	90580	91178
wiki-1357	10598	90114	90582
wiki-1358	11028	93114	93518
wiki-1359	10647	90424	90904
wiki-136	8379	92425	92535
wiki-1360	10226	90616	91032
wiki-1361	10523	90171	90735
wiki-1362	9273	89815	90307
wiki-1363	10086	92577	92881
wiki-1364	12206	95699	96129
wiki-1365	10720	92916	93378
wiki-1366	9611	92712	93158
wiki-1367	10012	91091	91541
wiki-1368	10424	90815	91279
wiki-1369	10141	90757	91271
wiki-137	8484	89966	90120
wiki-1370	10452	91292	92082
wiki-1371	10225	91038	91516
wiki-1372	10164	90248	90692
wiki-1373	9496	87660	88130
wiki-1374	9987	90846	91350
wiki-1375	9726	90675	91113
wiki-1376	10453	92436	92844
wiki-1377	9993	91628	92036
wiki-1378	10561	93190	93468
wiki-1379	10347	91620	92004
wiki-138	7586	85633	85763
wiki-1380	9912	86110	86620
wiki-1381	10294	89495	89925
wiki-1382	10357	91188	91688
wiki-1383	9837	90712	91254
wiki-1384	9751	88865	89281
wiki-1385	10087	91112	91550
wiki-1386	10180	92160	92486
wiki-1387	10142	88595	89073
wiki-1388	9449	89340	89752
wiki-1389	9948	91353	91805
wiki-139	9148	88791	88941
wiki-1390	10412	90539	91097
wiki-1391	10294	92375	92873
wiki-1392	9856	87035	87441
wiki-1393	10582	92211	92687
wiki-1394	9678	90271	90837
wiki-1395	10557	92335	92787
wiki-1396	10312	88671	89097
wiki-1397	9922	92440	92850
wiki-1398	9662	90410	90910
wiki-1399	9894	91207	91767
wiki-14	9144	91517	91603
wiki-140	8619	89620	89782
wiki-1400	9539	87571	88723
wiki-1401	10217	92093	92567
wiki-1402	9941	92104	92650
wiki-1403	10642	91562	92016
wiki-1404	9577	90559	91135
wiki-1405	9857	86576	86982
wiki-1406	10380	91824	92248
wiki-1407	10391	90366	90774
wiki-1408	10083	91004	91526
wiki-1409	9934	90246	90770
wiki-141	9570	90010	90224
wiki-1410	9936	91662	92134
wiki-1411	9589	89669	90101
wiki-1412	10522	91191	91715
wiki-1413	9721	88316	88674
wiki-1414	10285	92062	92540
wiki-1415	10698	90895	91309
wiki-1416	10605	92472	92966
