subtask	score
ko.sub.lem-treetagger.parsed.lower.topic-model-100-5.stop-top-200	-67.1694832420144
ko.sub.lem-udpipe.parsed.lower.topic-model-100-5.stop-top-200	-66.67303315103494
ko.sub.lower.topic-model-100-6.stop-top-200	-64.81338650402779
ko.sub.lem-treetagger.parsed.lower.topic-model-100-6.stop-top-200	-66.81364036639576
ko.sub.lem-udpipe.parsed.lower.topic-model-100-6.stop-top-200	-67.9264400559357
ko.sub.lower.topic-model-100-7.stop-top-200	-65.00118328971136
ko.sub.lem-treetagger.parsed.lower.topic-model-100-7.stop-top-200	-67.30193492311807
ko.sub.lem-udpipe.parsed.lower.topic-model-100-7.stop-top-200	-68.22913283127556
ko.sub.lower.topic-model-100-8.stop-top-200	-64.21995572491555
ko.sub.lem-treetagger.parsed.lower.topic-model-100-8.stop-top-200	-67.15464742152439
ko.sub.lem-udpipe.parsed.lower.topic-model-100-8.stop-top-200	-65.90157062442307
ko.sub.lower.topic-model-100-9.stop-top-200	-64.39308976936498
ko.sub.lem-treetagger.parsed.lower.topic-model-100-9.stop-top-200	-67.0700384897889
ko.sub.lem-udpipe.parsed.lower.topic-model-100-9.stop-top-200	-66.32543534727814
ru.sub.lower.topic-model-100-0.stop-top-200	-72.59786656982698
ru.sub.lem-treetagger.parsed.lower.topic-model-100-0.stop-top-200	-72.57892999110308
ru.sub.lem-udpipe.parsed.lower.topic-model-100-0.stop-top-200	-73.60204310131385
ru.sub.lower.topic-model-100-1.stop-top-200	-72.17845310463547
ru.sub.lem-treetagger.parsed.lower.topic-model-100-1.stop-top-200	-72.31999737390251
ru.sub.lem-udpipe.parsed.lower.topic-model-100-1.stop-top-200	-72.6800276103288
ru.sub.lower.topic-model-100-2.stop-top-200	-72.35736582042439
ru.sub.lem-treetagger.parsed.lower.topic-model-100-2.stop-top-200	-72.44429158359145
ru.sub.lem-udpipe.parsed.lower.topic-model-100-2.stop-top-200	-74.17138440476754
ru.sub.lower.topic-model-100-3.stop-top-200	-71.55787817128218
ru.sub.lem-treetagger.parsed.lower.topic-model-100-3.stop-top-200	-72.63617569690743
ru.sub.lem-udpipe.parsed.lower.topic-model-100-3.stop-top-200	-72.2245687191214
ru.sub.lower.topic-model-100-4.stop-top-200	-72.65933812924509
ru.sub.lem-treetagger.parsed.lower.topic-model-100-4.stop-top-200	-73.10952955006255
ru.sub.lem-udpipe.parsed.lower.topic-model-100-4.stop-top-200	-73.29113037967056
ru.sub.lower.topic-model-100-5.stop-top-200	-73.7611554790025
ru.sub.lem-treetagger.parsed.lower.topic-model-100-5.stop-top-200	-73.8392845366806
ru.sub.lem-udpipe.parsed.lower.topic-model-100-5.stop-top-200	-71.78221701937981
ru.sub.lower.topic-model-100-6.stop-top-200	-72.57507149203587
ru.sub.lem-treetagger.parsed.lower.topic-model-100-6.stop-top-200	-69.90522566802994
ru.sub.lem-udpipe.parsed.lower.topic-model-100-6.stop-top-200	-72.7051825003232
ru.sub.lower.topic-model-100-7.stop-top-200	-73.06724093810925
ru.sub.lem-treetagger.parsed.lower.topic-model-100-7.stop-top-200	-72.02214538737658
ru.sub.lem-udpipe.parsed.lower.topic-model-100-7.stop-top-200	-72.22058816128154
ru.sub.lower.topic-model-100-8.stop-top-200	-72.62434015494713
ru.sub.lem-treetagger.parsed.lower.topic-model-100-8.stop-top-200	-72.37500102563726
ru.sub.lem-udpipe.parsed.lower.topic-model-100-8.stop-top-200	-72.32373957812531
ru.sub.lower.topic-model-100-9.stop-top-200	-71.72726869101707
ru.sub.lem-treetagger.parsed.lower.topic-model-100-9.stop-top-200	-72.82635678952609
ru.sub.lem-udpipe.parsed.lower.topic-model-100-9.stop-top-200	-73.83017713723834
