subtask	score
ko.sub.lem-treetagger.parsed.lower.topic-model-100-5.stop-top-200	-68.05334181908198
ko.sub.lem-udpipe.parsed.lower.topic-model-100-5.stop-top-200	-63.591953269625485
ko.sub.lower.topic-model-100-6.stop-top-200	-65.09544488329826
ko.sub.lem-treetagger.parsed.lower.topic-model-100-6.stop-top-200	-68.42849420768938
ko.sub.lem-udpipe.parsed.lower.topic-model-100-6.stop-top-200	-65.6561831073399
ko.sub.lower.topic-model-100-7.stop-top-200	-65.25241166786098
ko.sub.lem-treetagger.parsed.lower.topic-model-100-7.stop-top-200	-69.4322259678329
ko.sub.lem-udpipe.parsed.lower.topic-model-100-7.stop-top-200	-65.5188768827795
ko.sub.lower.topic-model-100-8.stop-top-200	-64.63423095042968
ko.sub.lem-treetagger.parsed.lower.topic-model-100-8.stop-top-200	-68.94359347296451
ko.sub.lem-udpipe.parsed.lower.topic-model-100-8.stop-top-200	-64.73740231710951
ko.sub.lower.topic-model-100-9.stop-top-200	-64.8298958529051
ko.sub.lem-treetagger.parsed.lower.topic-model-100-9.stop-top-200	-69.151318600113
ko.sub.lem-udpipe.parsed.lower.topic-model-100-9.stop-top-200	-65.23610779937496
ru.sub.lower.topic-model-100-0.stop-top-200	-72.74091881331883
ru.sub.lem-treetagger.parsed.lower.topic-model-100-0.stop-top-200	-75.4142006544168
ru.sub.lem-udpipe.parsed.lower.topic-model-100-0.stop-top-200	-74.62800671817982
ru.sub.lower.topic-model-100-1.stop-top-200	-72.24120119368027
ru.sub.lem-treetagger.parsed.lower.topic-model-100-1.stop-top-200	-73.99802979744992
ru.sub.lem-udpipe.parsed.lower.topic-model-100-1.stop-top-200	-73.69162559154117
ru.sub.lower.topic-model-100-2.stop-top-200	-72.39792427117668
ru.sub.lem-treetagger.parsed.lower.topic-model-100-2.stop-top-200	-73.19104694470666
ru.sub.lem-udpipe.parsed.lower.topic-model-100-2.stop-top-200	-75.15428245940511
ru.sub.lower.topic-model-100-3.stop-top-200	-71.88746868954578
ru.sub.lem-treetagger.parsed.lower.topic-model-100-3.stop-top-200	-74.74110180098451
ru.sub.lem-udpipe.parsed.lower.topic-model-100-3.stop-top-200	-75.0391805707585
ru.sub.lower.topic-model-100-4.stop-top-200	-72.6804309633638
ru.sub.lem-treetagger.parsed.lower.topic-model-100-4.stop-top-200	-76.09530210587278
ru.sub.lem-udpipe.parsed.lower.topic-model-100-4.stop-top-200	-74.26940294535989
ru.sub.lower.topic-model-100-5.stop-top-200	-73.70640005143088
ru.sub.lem-treetagger.parsed.lower.topic-model-100-5.stop-top-200	-74.11493556030644
ru.sub.lem-udpipe.parsed.lower.topic-model-100-5.stop-top-200	-74.38626449726405
ru.sub.lower.topic-model-100-6.stop-top-200	-72.46326900833577
ru.sub.lem-treetagger.parsed.lower.topic-model-100-6.stop-top-200	-74.28603608900853
ru.sub.lem-udpipe.parsed.lower.topic-model-100-6.stop-top-200	-75.96062196706656
ru.sub.lower.topic-model-100-7.stop-top-200	-73.17992506623814
ru.sub.lem-treetagger.parsed.lower.topic-model-100-7.stop-top-200	-73.76178218880574
ru.sub.lem-udpipe.parsed.lower.topic-model-100-7.stop-top-200	-76.35299561979451
ru.sub.lower.topic-model-100-8.stop-top-200	-73.01763217877954
ru.sub.lem-treetagger.parsed.lower.topic-model-100-8.stop-top-200	-74.34635883283283
ru.sub.lem-udpipe.parsed.lower.topic-model-100-8.stop-top-200	-74.50963343365284
ru.sub.lower.topic-model-100-9.stop-top-200	-71.73493108514987
ru.sub.lem-treetagger.parsed.lower.topic-model-100-9.stop-top-200	-74.3166717313509
ru.sub.lem-udpipe.parsed.lower.topic-model-100-9.stop-top-200	-73.74514506663502
